ORF,ToxinFamily
No matches found,Actinoporin_fam_HALT_subfam; Jellyfish_Tx_fam_Type_I_subfam; SCRiPs_fam; Sea_anem_short_Tx_type_III_fam; Sea_anem_sodium_channel_inhibitory_Tx_fam; Sea_anem_sodium_channel_inhibitory_Tx_fam_Type_II_subfam; Sea_anem_sodium_channel_inhibitory_Tx_fam_Type_I_subfam; Sea_anem_structural_class_9a_fam; Sea_anem_type_1_potassium_channel_Tx_fam_Type_1b_subfam; Sea_anem_type_5_potassium_channel_Tx_fam; Sea_anem_type_6_potassium_channel_Tx_fam
TRINITY_DN10376_c0_g2_i1_ORF.6,EGF_domain_peptide_fam
TRINITY_DN10963_c0_g1_i1_ORF.14,EGF_domain_peptide_fam
TRINITY_DN1121_c0_g1_i2_ORF.5,Kunitz-type_fam_Sea_anem_type_2_potassium_channel_Tx_subfam
TRINITY_DN11441_c0_g1_i2_ORF.11,Kunitz-type_fam_Sea_anem_type_2_potassium_channel_Tx_subfam
TRINITY_DN12808_c0_g1_i1_ORF.5,PLA2_fam
TRINITY_DN1479_c0_g1_i2_ORF.20,Kunitz-type_fam_Sea_anem_type_2_potassium_channel_Tx_subfam
TRINITY_DN14839_c0_g1_i1_ORF.4,PLA2_fam; PLA2_fam_Group_III_subfam
TRINITY_DN17813_c0_g1_i1_ORF.7,PLA2_fam; PLA2_fam_Group_III_subfam
TRINITY_DN2174_c0_g1_i1_ORF.1,Actinoporin_fam_Sea_anem_subfam
TRINITY_DN22624_c0_g1_i1_ORF.4,Kunitz-type_fam_Sea_anem_type_2_potassium_channel_Tx_subfam
TRINITY_DN2283_c0_g1_i3_ORF.22,NEP3_fam
TRINITY_DN23956_c0_g1_i1_ORF.1,Sea_anem_type_3_BDS_potassium_channel_Tx_fam
TRINITY_DN27169_c0_g1_i1_ORF.7,NEP3_fam; Sea_anem_type_1_potassium_channel_Tx_fam_Type_1a_subfam
TRINITY_DN2731_c0_g1_i2_ORF.6,Kunitz-type_fam_Sea_anem_type_2_potassium_channel_Tx_subfam
TRINITY_DN2812_c0_g1_i1_ORF.5,Kunitz-type_fam_Sea_anem_type_2_potassium_channel_Tx_subfam
TRINITY_DN31969_c0_g1_i1_ORF.7,NEP3_fam
TRINITY_DN321_c0_g1_i12_ORF.2,NEP3_fam
TRINITY_DN321_c0_g1_i4_ORF.3,NEP3_fam
TRINITY_DN321_c0_g1_i7_ORF.2,NEP3_fam; Sea_anem_type_1_potassium_channel_Tx_fam_Type_1a_subfam
TRINITY_DN34477_c0_g1_i2_ORF.4,Sea_anem_8_Tx_fam; Sea_anem_type_1_potassium_channel_Tx_fam_Type_1a_subfam
TRINITY_DN34983_c0_g1_i1_ORF.1,PLA2_fam_Group_III_subfam
TRINITY_DN36932_c0_g1_i1_ORF.2,EGF_domain_peptide_fam
TRINITY_DN37179_c0_g1_i1_ORF.3,Sea_anem_type_3_BDS_potassium_channel_Tx_fam
TRINITY_DN37283_c0_g1_i1_ORF.5,NEP3_fam
TRINITY_DN412_c0_g1_i8_ORF.7,Kunitz-type_fam_Sea_anem_type_2_potassium_channel_Tx_subfam
TRINITY_DN4242_c0_g1_i1_ORF.8,Sea_anem_8_Tx_fam; Sea_anem_type_1_potassium_channel_Tx_fam_Type_1a_subfam
TRINITY_DN44692_c0_g1_i1_ORF.7,NEP3_fam
TRINITY_DN45534_c0_g1_i2_ORF.7,Kunitz-type_fam_Sea_anem_type_2_potassium_channel_Tx_subfam
TRINITY_DN52771_c0_g1_i1_ORF.8,NEP3_fam; Sea_anem_type_1_potassium_channel_Tx_fam_Type_1a_subfam
TRINITY_DN53419_c0_g1_i2_ORF.5,Sea_anem_8_Tx_fam
TRINITY_DN5353_c0_g1_i1_ORF.1,Acrorhagin_I_fam
TRINITY_DN53992_c0_g1_i1_ORF.6,PLA2_fam; PLA2_fam_Group_III_subfam
TRINITY_DN54767_c0_g1_i1_ORF.6,EGF_domain_peptide_fam
TRINITY_DN57709_c0_g1_i1_ORF.2,NEP3_fam; Sea_anem_8_Tx_fam; Sea_anem_type_1_potassium_channel_Tx_fam_Type_1a_subfam
TRINITY_DN58689_c0_g1_i1_ORF.8,Jellyfish_Tx_fam_Type_II_subfam
TRINITY_DN64150_c0_g1_i1_ORF.3,Kunitz-type_fam_Sea_anem_type_2_potassium_channel_Tx_subfam
TRINITY_DN64912_c0_g1_i1_ORF.4,NEP3_fam
TRINITY_DN65858_c0_g1_i1_ORF.7,EGF_domain_peptide_fam
TRINITY_DN68501_c0_g1_i1_ORF.5,NEP3_fam; Sea_anem_type_1_potassium_channel_Tx_fam_Type_1a_subfam
TRINITY_DN698_c0_g1_i2_ORF.14,Sea_anem_type_1_potassium_channel_Tx_fam_Type_1a_subfam
TRINITY_DN698_c0_g1_i3_ORF.14,Sea_anem_type_1_potassium_channel_Tx_fam_Type_1a_subfam
TRINITY_DN7_c0_g1_i1_ORF.6,Kunitz-type_fam_Sea_anem_type_2_potassium_channel_Tx_subfam
TRINITY_DN7_c0_g1_i2_ORF.11,Kunitz-type_fam_Sea_anem_type_2_potassium_channel_Tx_subfam
TRINITY_DN7_c0_g1_i4_ORF.13,Kunitz-type_fam_Sea_anem_type_2_potassium_channel_Tx_subfam
TRINITY_DN7_c0_g1_i6_ORF.5,Kunitz-type_fam_Sea_anem_type_2_potassium_channel_Tx_subfam
TRINITY_DN957_c0_g1_i2_ORF.13,EGF_domain_peptide_fam
TRINITY_DN9995_c0_g1_i1_ORF.3,Kunitz-type_fam_Sea_anem_type_2_potassium_channel_Tx_subfam
