pfam.domains	num_orfs	num_transcripts	num_genes	total_TPM	ORFs_ID	Gene_ID
ShK	15	15	12	119.807019	TRINITY_DN57709_c0_g1_i1_ORF.2; TRINITY_DN321_c0_g1_i12_ORF.2; TRINITY_DN321_c0_g1_i4_ORF.3; TRINITY_DN321_c0_g1_i7_ORF.2; TRINITY_DN4242_c0_g1_i1_ORF.8; TRINITY_DN37283_c0_g1_i1_ORF.5; TRINITY_DN2283_c0_g1_i3_ORF.22; TRINITY_DN27169_c0_g1_i1_ORF.7; TRINITY_DN31969_c0_g1_i1_ORF.7; TRINITY_DN52771_c0_g1_i1_ORF.8; TRINITY_DN68501_c0_g1_i1_ORF.5; TRINITY_DN698_c0_g1_i2_ORF.14; TRINITY_DN698_c0_g1_i3_ORF.14; TRINITY_DN44692_c0_g1_i1_ORF.7; TRINITY_DN64912_c0_g1_i1_ORF.4	TRINITY_DN57709_c0; TRINITY_DN321_c0; TRINITY_DN4242_c0; TRINITY_DN37283_c0; TRINITY_DN2283_c0; TRINITY_DN27169_c0; TRINITY_DN31969_c0; TRINITY_DN52771_c0; TRINITY_DN68501_c0; TRINITY_DN698_c0; TRINITY_DN44692_c0; TRINITY_DN64912_c0
Astacin	8	8	7	39.227678	TRINITY_DN4548_c0_g1_i1_ORF.10; TRINITY_DN1160_c0_g1_i5_ORF.15; TRINITY_DN52969_c0_g1_i1_ORF.13; TRINITY_DN37590_c0_g1_i1_ORF.7; TRINITY_DN698_c0_g1_i2_ORF.14; TRINITY_DN698_c0_g1_i3_ORF.14; TRINITY_DN44692_c0_g1_i1_ORF.7; TRINITY_DN66002_c0_g1_i1_ORF.10	TRINITY_DN4548_c0; TRINITY_DN1160_c0; TRINITY_DN52969_c0; TRINITY_DN37590_c0; TRINITY_DN698_c0; TRINITY_DN44692_c0; TRINITY_DN66002_c0
Kunitz_BPTI	7	7	6	156.23879	TRINITY_DN64150_c0_g1_i1_ORF.3; TRINITY_DN45534_c0_g1_i2_ORF.7; TRINITY_DN2731_c0_g1_i2_ORF.6; TRINITY_DN412_c0_g1_i8_ORF.7; TRINITY_DN7_c0_g1_i1_ORF.6; TRINITY_DN7_c0_g1_i6_ORF.5; TRINITY_DN22624_c0_g1_i1_ORF.4	TRINITY_DN64150_c0; TRINITY_DN45534_c0; TRINITY_DN2731_c0; TRINITY_DN412_c0; TRINITY_DN7_c0; TRINITY_DN22624_c0
EGF	5	5	5	180.474381	TRINITY_DN957_c0_g1_i2_ORF.13; TRINITY_DN36932_c0_g1_i1_ORF.2; TRINITY_DN65858_c0_g1_i1_ORF.7; TRINITY_DN10376_c0_g2_i1_ORF.6; TRINITY_DN54767_c0_g1_i1_ORF.6	TRINITY_DN957_c0; TRINITY_DN36932_c0; TRINITY_DN65858_c0; TRINITY_DN10376_c0; TRINITY_DN54767_c0
F5_F8_type_C	4	4	2	0	TRINITY_DN34983_c0_g1_i1_ORF.1; TRINITY_DN3430_c0_g1_i2_ORF.1; TRINITY_DN3430_c0_g1_i3_ORF.4; TRINITY_DN3430_c0_g1_i5_ORF.4	TRINITY_DN34983_c0; TRINITY_DN3430_c0
Fibrinogen_C	4	4	4	20.183393	TRINITY_DN32973_c0_g1_i1_ORF.5; TRINITY_DN9615_c0_g1_i1_ORF.7; TRINITY_DN110_c1_g1_i1_ORF.12; TRINITY_DN33789_c0_g1_i1_ORF.9	TRINITY_DN32973_c0; TRINITY_DN9615_c0; TRINITY_DN110_c1; TRINITY_DN33789_c0
Phospholip_A2_2	3	3	3	24.65866	TRINITY_DN14839_c0_g1_i1_ORF.4; TRINITY_DN17813_c0_g1_i1_ORF.7; TRINITY_DN53992_c0_g1_i1_ORF.6	TRINITY_DN14839_c0; TRINITY_DN17813_c0; TRINITY_DN53992_c0
A1_Propeptide	2	2	1	33.787586	TRINITY_DN52874_c0_g1_i1_ORF.3; TRINITY_DN52874_c0_g1_i2_ORF.11	TRINITY_DN52874_c0
Asp	2	2	1	33.787586	TRINITY_DN52874_c0_g1_i1_ORF.3; TRINITY_DN52874_c0_g1_i2_ORF.11	TRINITY_DN52874_c0
CAP	2	2	2	3.507631	TRINITY_DN667_c0_g1_i1_ORF.2; TRINITY_DN64912_c0_g1_i1_ORF.4	TRINITY_DN667_c0; TRINITY_DN64912_c0
Cystatin	2	2	1	18.210938	TRINITY_DN609_c0_g1_i2_ORF.8; TRINITY_DN609_c0_g1_i6_ORF.16	TRINITY_DN609_c0
EGF_CA	2	2	2	13.82823	TRINITY_DN65858_c0_g1_i1_ORF.7; TRINITY_DN10376_c0_g2_i1_ORF.6	TRINITY_DN65858_c0; TRINITY_DN10376_c0
IGFBP	2	2	2	3.93741	TRINITY_DN64150_c0_g1_i1_ORF.3; TRINITY_DN44501_c0_g1_i1_ORF.11	TRINITY_DN64150_c0; TRINITY_DN44501_c0
Thyroglobulin_1	2	2	1	126.012022	TRINITY_DN7_c0_g1_i1_ORF.6; TRINITY_DN7_c0_g1_i6_ORF.5	TRINITY_DN7_c0
CUB	1	1	1	20.627794	TRINITY_DN870_c1_g1_i2_ORF.16	TRINITY_DN870_c1
Kazal_1	1	1	1	12.416	TRINITY_DN7_c0_g1_i6_ORF.5	TRINITY_DN7_c0
Kazal_2	1	1	1	12.416	TRINITY_DN7_c0_g1_i6_ORF.5	TRINITY_DN7_c0
Phospholip_A2_1	1	1	1	6.762086	TRINITY_DN12808_c0_g1_i1_ORF.5	TRINITY_DN12808_c0
TSP_1	1	1	1	11.00097	TRINITY_DN957_c0_g1_i2_ORF.13	TRINITY_DN957_c0
Transferrin	1	1	1	1.153848	TRINITY_DN66033_c0_g1_i1_ORF.1	TRINITY_DN66033_c0
Trypsin	1	1	1	20.627794	TRINITY_DN870_c1_g1_i2_ORF.16	TRINITY_DN870_c1
